experiment,ion,filename,area
3,citrate M1,M24,622863.89388887596
4,pyruvate M0,M31,848208354.18785095
4,pyruvate M0,M32,831660715.46518302
4,pyruvate M0,M33,780338896.50464904
4,pyruvate M0,M34,873668813.41441095
4,pyruvate M1,M31,31660284.778151698
4,pyruvate M1,M32,30243691.680269599
4,pyruvate M1,M33,29552800.668535899
4,pyruvate M1,M34,32920860.539410599
4,lactate M0,M31,1733031878.86238
4,lactate M0,M32,1702231709.9737599
4,lactate M0,M33,1880494251.93799
4,lactate M0,M34,1772244398.2964399
4,lactate M1,M31,62331898.5408777
4,lactate M1,M32,61225666.094361603
4,lactate M1,M33,65951443.8088255
4,lactate M1,M34,62051284.171620697
4,alanine M0,M31,38724821.390533097
4,alanine M0,M32,40192474.112689503
4,alanine M0,M33,36972561.0960408
4,alanine M0,M34,39181489.440066099
4,alanine M1,M31,1329497.19573112
4,alanine M1,M32,1422979.1223334901
4,alanine M1,M33,1294367.64675851
4,alanine M1,M34,1398048.4924574899
4,glutamine M0,M31,208365986.84045899
4,glutamine M0,M32,215231107.39869201
4,glutamine M0,M33,206242511.554948
4,glutamine M0,M34,214462318.94340101
4,glutamine M1,M31,12228811.9632023
4,glutamine M1,M32,12976015.490457799
4,glutamine M1,M33,12231637.945310701
4,glutamine M1,M34,12798815.212797999
4,glutamate M0,M31,215017502.33708599
4,glutamate M0,M32,218525826.28480801
4,glutamate M0,M33,211709641.369174
4,glutamate M0,M34,219230867.02314901
4,glutamate M1,M31,12747332.1117798
4,glutamate M1,M32,13090613.5704889
4,glutamate M1,M33,12590599.3716792
4,glutamate M1,M34,13007414.9358918
4,serine M0,M31,104880482.476263
4,serine M0,M32,101543178.15183701
4,serine M0,M33,104394440.65539899
4,serine M0,M34,106182547.99682499
4,serine M1,M31,3869284.6662747301
4,serine M1,M32,3677049.9939005398
4,serine M1,M33,3749340.8222975601
4,serine M1,M34,3776812.9548885901
4,aspartate M0,M31,59588708.953224003
4,aspartate M0,M32,56155942.414879501
4,aspartate M0,M33,57638102.847645201
4,aspartate M0,M34,58032243.537316397
4,aspartate M1,M31,2901982.1933127702
4,aspartate M1,M32,2687401.0743354801
4,aspartate M1,M33,2766368.5145967398
4,aspartate M1,M34,2832817.3436622401
4,2HG M0,M31,354453920.49979299
4,2HG M0,M32,356708772.95938098
4,2HG M0,M33,362479543.28385198
4,2HG M0,M34,356958866.04961401
4,2HG M1,M31,21292185.990476601
4,2HG M1,M32,21827306.657481398
4,2HG M1,M33,21789023.106047101
4,2HG M1,M34,21623223.882726599
4,succinate M0,M31,104104316.72739699
4,succinate M0,M32,112874400.18607
4,succinate M0,M33,103441154.239502
4,succinate M0,M34,103781919.725814
4,succinate M1,M31,5061180.9848352103
4,succinate M1,M32,5523001.1721482901
4,succinate M1,M33,5072681.2650743099
4,succinate M1,M34,5031494.2488403898
4,2OG M0,M31,141444573.142896
4,2OG M0,M32,141793689.751434
4,2OG M0,M33,142590203.39852899
4,2OG M0,M34,138844406.97118601
4,2OG M1,M31,8513726.3071021102
4,2OG M1,M32,8450327.4392534792
4,2OG M1,M33,8603640.1399630792
4,2OG M1,M34,8394269.0678277295
4,malate M0,M31,368202963.64933199
4,malate M0,M32,392803884.41454202
4,malate M0,M33,400001224.008246
4,malate M0,M34,365138580.98731899
4,malate M1,M31,17815664.059583601
4,malate M1,M32,19082943.1010658
