plate,date,oxygen,treatment,time,gene,replicate,ct
b,2018-01-30,21%,None,24,ACTIN,a,18.040152
b,2018-01-30,21%,None,24,ACTIN,b,18.045755
b,2018-02-04,21%,None,24,ACTIN,a,18.180935
b,2018-02-04,21%,None,24,ACTIN,b,18.062506
b,2018-02-08,21%,None,24,ACTIN,a,18.13005
b,2018-02-08,21%,None,24,ACTIN,b,18.203709
b,2018-02-12,21%,None,24,ACTIN,a,17.893393
b,2018-02-12,21%,None,24,ACTIN,b,17.97593
b,2018-01-30,21%,None,48,ACTIN,a,18.1277
b,2018-01-30,21%,None,48,ACTIN,b,18.096289
b,2018-02-04,21%,None,48,ACTIN,a,17.82133
b,2018-02-04,21%,None,48,ACTIN,b,17.830528
b,2018-02-08,21%,None,48,ACTIN,a,17.895262
b,2018-02-08,21%,None,48,ACTIN,b,17.94252
b,2018-02-12,21%,None,48,ACTIN,a,17.833601
b,2018-02-12,21%,None,48,ACTIN,b,17.833569
b,2018-01-30,21%,None,72,ACTIN,a,18.115334
b,2018-01-30,21%,None,72,ACTIN,b,18.120188
b,2018-02-04,21%,None,72,ACTIN,a,17.83335
b,2018-02-04,21%,None,72,ACTIN,b,17.9002
b,2018-02-08,21%,None,72,ACTIN,a,17.9018
b,2018-02-08,21%,None,72,ACTIN,b,17.858694
b,2018-02-12,21%,None,72,ACTIN,a,17.977766
b,2018-02-12,21%,None,72,ACTIN,b,17.99555
b,2018-01-30,0.2%,None,0,ACTIN,a,17.874477
b,2018-01-30,0.2%,None,0,ACTIN,b,17.875467
b,2018-02-04,0.2%,None,0,ACTIN,a,17.749395
b,2018-02-04,0.2%,None,0,ACTIN,b,17.789368
b,2018-02-08,0.2%,None,0,ACTIN,a,18.258234
b,2018-02-08,0.2%,None,0,ACTIN,b,18.340508
b,2018-02-12,0.2%,None,0,ACTIN,a,17.898476
b,2018-02-12,0.2%,None,0,ACTIN,b,17.911604
b,2018-01-30,0.2%,None,24,ACTIN,a,17.914766
b,2018-01-30,0.2%,None,24,ACTIN,b,17.8981
b,2018-02-04,0.2%,None,24,ACTIN,a,17.887123
b,2018-02-04,0.2%,None,24,ACTIN,b,17.926094
