method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,glc2,21%,BAY,AKG,24,M5,0.0011057197954641791,2.152868842881949e-4
sim,glc2,21%,BAY,AKG,48,M0,0.7651156915493422,0.012752266074513963
sim,glc2,21%,BAY,AKG,48,M1,0.00705084190598409,5.034413558020825e-4
sim,glc2,21%,BAY,AKG,48,M2,0.18073939245329418,0.009832842560959051
sim,glc2,21%,BAY,AKG,48,M3,0.005659995925788789,7.2934518357433e-4
sim,glc2,21%,BAY,AKG,48,M4,0.03935958125022816,0.002085857886301584
sim,glc2,21%,BAY,AKG,48,M5,0.0020744969153624316,3.992209121231492e-4
sim,glc2,21%,BAY,AKG,72,M0,0.7493128549346773,0.01702453515961161
sim,glc2,21%,BAY,AKG,72,M1,0.007657652411242159,0.0011049490985458703
sim,glc2,21%,BAY,AKG,72,M2,0.1888796410708679,0.01269049138226176
sim,glc2,21%,BAY,AKG,72,M3,0.006247762150221768,3.6068095338396677e-4
sim,glc2,21%,BAY,AKG,72,M4,0.04617527947563556,0.002995651848831476
sim,glc2,21%,BAY,AKG,72,M5,0.0017268099573553284,1.2723812341141008e-4
sim,glc2,0.5%,None,AKG,24,M0,0.8014644571600481,0.0013972391339800438
sim,glc2,0.5%,None,AKG,24,M1,0.015277186579817047,0.0018107681410054932
sim,glc2,0.5%,None,AKG,24,M2,0.15043946861880528,6.60885156167329e-4
sim,glc2,0.5%,None,AKG,24,M3,0.009238038620395489,1.3713002601425418e-5
sim,glc2,0.5%,None,AKG,24,M4,0.019597765970141567,5.25911071486725e-4
sim,glc2,0.5%,None,AKG,24,M5,0.002251641980527468,9.329477450691455e-4
sim,glc2,0.5%,None,AKG,48,M0,0.7643454773923576,0.0018240102329607636
sim,glc2,0.5%,None,AKG,48,M1,0.019011545415802945,6.444873300473884e-4
sim,glc2,0.5%,None,AKG,48,M2,0.1710020217475588,0.0015303896146962087
sim,glc2,0.5%,None,AKG,48,M3,0.013863825617766789,5.20438563054318e-4
sim,glc2,0.5%,None,AKG,48,M4,0.030075276211498535,0.0014972634215503888
sim,glc2,0.5%,None,AKG,48,M5,0.0034455167775472896,6.968163354814774e-4
sim,glc2,0.5%,None,AKG,72,M0,0.7242619425794812,0.00813196369132066
sim,glc2,0.5%,None,AKG,72,M1,0.0200917559361252,0.001036747100009734
sim,glc2,0.5%,None,AKG,72,M2,0.18853965296649286,0.0017974945605356957
sim,glc2,0.5%,None,AKG,72,M3,0.016029683504258842,4.3152048265709204e-4
sim,glc2,0.5%,None,AKG,72,M4,0.04061086264414702,0.0019356839912872735
sim,glc2,0.5%,None,AKG,72,M5,0.003917652939485298,4.6450046716734855e-4
sim,glc6,21%,None,AKG,24,M0,0.6940751908929803,0.0026514638935175023
sim,glc6,21%,None,AKG,24,M1,0.015546892616541593,7.973651467344141e-5
sim,glc6,21%,None,AKG,24,M2,0.1742839013020166,0.003976782290618813
sim,glc6,21%,None,AKG,24,M3,0.0380980563474405,2.985901594968407e-4
sim,glc6,21%,None,AKG,24,M4,0.039885817084154486,0.0030403482047759098
sim,glc6,21%,None,AKG,24,M5,0.032179886835281106,0.0021507683300761578
sim,glc6,21%,None,AKG,48,M0,0.7220453234825542,0.006121717308012994
sim,glc6,21%,None,AKG,48,M1,0.008694289481262052,1.9289730630241226e-4
sim,glc6,21%,None,AKG,48,M2,0.15028952956392783,0.005180388664399501
sim,glc6,21%,None,AKG,48,M3,0.02916686683026754,0.0011224069670410504
sim,glc6,21%,None,AKG,48,M4,0.051905557759079,3.314578801583319e-4
sim,glc6,21%,None,AKG,48,M5,0.04136236489509142,9.884606643949244e-5
sim,glc6,21%,None,AKG,72,M0,0.8020929154745228,0.009510518206858927
sim,glc6,21%,None,AKG,72,M1,0.004439806103903525,1.2738489950663443e-4
sim,glc6,21%,None,AKG,72,M2,0.10139170580741243,0.0037122799453416103
sim,glc6,21%,None,AKG,72,M3,0.015726740719175313,8.365212607111538e-5
sim,glc6,21%,None,AKG,72,M4,0.04107451850835666,0.0032023178283352802
sim,glc6,21%,None,AKG,72,M5,0.032471430257000784,7.080290896901431e-4
sim,glc6,21%,DMSO,AKG,24,M0,0.7113227162086241,0.009301725427165909
