method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,glc6,0.5%,None,AKG,24,M3,0.019123556952055084,0.002740208125324314
sim,glc6,0.5%,None,AKG,24,M4,0.026489158699182825,0.00121252964103019
sim,glc6,0.5%,None,AKG,24,M5,0.025878899645546755,0.0017491765909322685
sim,glc6,0.5%,None,AKG,36,M0,0.7683774069131545,0.007981108436173804
sim,glc6,0.5%,None,AKG,36,M1,0.003872956051274987,1.606836451242903e-4
sim,glc6,0.5%,None,AKG,36,M2,0.15800424879204641,0.004613487088074546
sim,glc6,0.5%,None,AKG,36,M3,0.013556314565333922,0.0015331326723884513
sim,glc6,0.5%,None,AKG,36,M4,0.027505726767249904,0.0016041064276560314
sim,glc6,0.5%,None,AKG,36,M5,0.025215807411347334,9.704621235521158e-4
sim,glc6,0.5%,None,AKG,48,M0,0.7840818587800901,0.0077639403538884355
sim,glc6,0.5%,None,AKG,48,M1,0.0031936046715401708,6.548845091747709e-4
sim,glc6,0.5%,None,AKG,48,M2,0.15088650733598252,0.0051949153532061644
sim,glc6,0.5%,None,AKG,48,M3,0.011526687471520516,0.0011169171811048779
sim,glc6,0.5%,None,AKG,48,M4,0.025813639022398117,7.907581671116161e-4
sim,glc6,0.5%,None,AKG,48,M5,0.024497702718468475,3.566671523331575e-4
sim,lac3,21%,None,AKG,12,M0,0.8710647199613403,0.007152356847920322
sim,lac3,21%,None,AKG,12,M1,0.0062582937573448984,4.625914322837501e-4
sim,lac3,21%,None,AKG,12,M2,0.10147902212153462,0.010067649371847821
sim,lac3,21%,None,AKG,12,M3,0.009883778286314407,6.041672412157152e-4
sim,lac3,21%,None,AKG,12,M4,0.008872791832993403,8.390391361111389e-4
sim,lac3,21%,None,AKG,12,M5,0.013038957334147665,0.0018306748271115013
sim,lac3,21%,None,AKG,24,M0,0.8251759504870473,0.003654458237561837
sim,lac3,21%,None,AKG,24,M1,0.008286849948620788,3.0713602659022656e-4
sim,lac3,21%,None,AKG,24,M2,0.12621424331594536,0.0029373462327150473
sim,lac3,21%,None,AKG,24,M3,0.014201236657678383,4.894904499811074e-4
sim,lac3,21%,None,AKG,24,M4,0.014257733965088521,1.893838180980285e-4
sim,lac3,21%,None,AKG,24,M5,0.011236014753771924,9.022675294680186e-4
sim,lac3,21%,None,AKG,36,M0,0.8184067442665255,0.00445651562513826
sim,lac3,21%,None,AKG,36,M1,0.009106514667296102,9.244037004021449e-4
sim,lac3,21%,None,AKG,36,M2,0.13197190680827792,0.003415231884414841
sim,lac3,21%,None,AKG,36,M3,0.01541582027970588,1.030586003851123e-4
sim,lac3,21%,None,AKG,36,M4,0.014280667183505371,5.344603586653326e-4
sim,lac3,21%,None,AKG,36,M5,0.009380077495382394,8.965389315750135e-4
sim,lac3,21%,None,AKG,48,M0,0.8201029514646943,0.0027987919643072327
sim,lac3,21%,None,AKG,48,M1,0.011531391478672047,8.671827556383231e-5
sim,lac3,21%,None,AKG,48,M2,0.13202097800197965,0.0027138955460991594
sim,lac3,21%,None,AKG,48,M3,0.01489220512521051,3.836188221141617e-5
sim,lac3,21%,None,AKG,48,M4,0.012735267690905933,1.4168215587631724e-4
sim,lac3,21%,None,AKG,48,M5,0.008717206238537471,3.6439321305450456e-4
sim,lac3,0.5%,None,AKG,12,M0,0.7912874384728007,0.005591773000561172
sim,lac3,0.5%,None,AKG,12,M1,0.004280182545550963,4.875220952196217e-4
sim,lac3,0.5%,None,AKG,12,M2,0.14483542432042912,0.004885601100564078
sim,lac3,0.5%,None,AKG,12,M3,0.01847165091222141,7.581277984559486e-4
sim,lac3,0.5%,None,AKG,12,M4,0.01966687270368835,0.0012004771446137165
sim,lac3,0.5%,None,AKG,12,M5,0.019485603422282755,0.0024194476581992255
sim,lac3,0.5%,None,AKG,24,M0,0.8088870129174743,0.028565803197579762
